,region,total,1,2,3,4,5,6,7,8,9,10 i dalsze,nieustalona
4, DOLNOŚLĄSKIE                 ,29663.0,15158.0,10422.0,2743.0,808.0,295,103,64,38,10,21,1
40, KUJAWSKO-POMORSKIE           ,22686.0,11478.0,7763.0,2258.0,729.0,250,103,61,21,12,11,-
70, LUBELSKIE                    ,22725.0,10995.0,8012.0,2417.0,780.0,255,121,65,25,23,31,1
101, LUBUSKIE                     ,10988.0,5440.0,3963.0,1045.0,321.0,119,53,21,12,5,9,-
122, ŁÓDZKIE                      ,25625.0,13368.0,9075.0,2271.0,580.0,176,79,42,21,4,8,1
153, MAŁOPOLSKIE                  ,37208.0,17818.0,13091.0,4284.0,1240.0,422,180,92,38,18,25,-
182, MAZOWIECKIE                  ,61024.0,30544.0,22013.0,5856.0,1605.0,563,241,115,40,25,22,-
231, OPOLSKIE                     ,9195.0,4679.0,3195.0,836.0,287.0,101,47,26,10,3,11,-
250, PODKARPACKIE                 ,22084.0,10580.0,7647.0,2617.0,769.0,260,104,50,19,20,17,1
282, PODLASKIE                    ,11972.0,5807.0,4092.0,1347.0,429.0,159,65,34,18,10,11,-
306, POMORSKIE                    ,27006.0,13154.0,9351.0,2969.0,883.0,317,159,83,46,21,22,1
333, ŚLĄSKIE                      ,48012.0,24869.0,16947.0,4243.0,1188.0,429,171,91,36,18,17,3
376, ŚWIĘTOKRZYSKIE               ,12508.0,6405.0,4381.0,1156.0,336.0,121,55,21,14,8,10,1
397, WARMIŃSKO-MAZURSKIE          ,15839.0,7720.0,5447.0,1646.0,577.0,247,105,45,20,15,16,1
425, WIELKOPOLSKIE                ,41082.0,21111.0,14452.0,3863.0,1018.0,360,139,68,32,20,18,1
467, ZACHODNIOPOMORSKIE           ,17413.0,8788.0,5912.0,1754.0,540.0,230,91,43,27,15,12,1
