Województwo,Stolica,lon,lat
dolnośląskie,Wrocław,17.03333333,51.11666667
kujawsko-pomorskie, Toruń,18.61666667,53.03333333
lubelskie,Lublin,22.56844,51.4
lubuskie,Zielona Góra,15.05,51.93333333
łódzkie,Łódź,19.46666667,51.78333333
małopolskie,Kraków,19.95,50.05
mazowieckie,Warszawa,21.03333333,52.2
opolskie,Opole,17.93333333,50.6666667
podkarpackie,Rzeszów,22.01666667,50.05
podlaskie,Białystok,23.01666667,53.13333333
pomorskie,Gdańsk,18.63333333,54.36666667
śląskie,Katowice,19,50.25
świętokrzyskie,Kielce,20.61666667,50.88333333
warmińsko-mazurskie,Olsztyn,20.490189,53.77
wielkopolskie,Poznań,16.91666667,52.41666667
zachodniopomorskie,Szczecin,14.56666667,53.43333333
