,region,total,1,2,3,4,5,6,7,8,9,10 i dalsze,nieustalona
4, DOLNOŚLĄSKIE                 ,27772.0,14183.0,9881.0,2526.0,688.0,282.0,101,52,33,12,14,-
40, KUJAWSKO-POMORSKIE           ,21059.0,10285.0,7401.0,2167.0,692.0,304.0,100,59,20,13,18,-
70, LUBELSKIE                    ,21448.0,10333.0,7634.0,2346.0,717.0,226.0,94,47,22,13,16,-
101, LUBUSKIE                     ,10460.0,5099.0,3796.0,1051.0,332.0,102.0,42,20,11,4,3,-
122, ŁÓDZKIE                      ,24071.0,12398.0,8639.0,2128.0,572.0,188.0,78,39,10,2,17,-
153, MAŁOPOLSKIE                  ,35657.0,16753.0,12957.0,4056.0,1223.0,381.0,149,65,38,18,17,-
182, MAZOWIECKIE                  ,57499.0,28432.0,21090.0,5587.0,1521.0,498.0,183,92,43,24,25,4
231, OPOLSKIE                     ,8722.0,4360.0,3037.0,914.0,239.0,87.0,40,23,10,6,6,-
250, PODKARPACKIE                 ,21224.0,10089.0,7484.0,2489.0,726.0,233.0,117,36,22,9,19,-
282, PODLASKIE                    ,11199.0,5321.0,3930.0,1267.0,411.0,152.0,61,29,7,8,13,-
306, POMORSKIE                    ,25171.0,11832.0,8962.0,2889.0,889.0,319.0,152,63,27,15,21,2
333, ŚLĄSKIE                      ,44988.0,22685.0,16407.0,4065.0,1126.0,394.0,168,73,39,15,15,1
376, ŚWIĘTOKRZYSKIE               ,11664.0,5958.0,4126.0,1121.0,273.0,105.0,40,13,11,8,8,1
397, WARMIŃSKO-MAZURSKIE          ,14814.0,7050.0,5174.0,1679.0,509.0,209.0,117,43,19,7,7,-
425, WIELKOPOLSKIE                ,38246.0,18987.0,13912.0,3733.0,1019.0,331.0,140,59,26,25,14,-
467, ZACHODNIOPOMORSKIE           ,16075.0,8023.0,5482.0,1676.0,544.0,189.0,80,38,19,10,13,1
